Code du bâtiment ;Typologie;type d’alimentation ;Surface (m2);Puissance Souscrite (KVA)
4846;Sport en salle;électricité usages spécifiques;4622;156
4764;Sport en salle;électricité usages spécifiques;6438;190
4732;Sport en salle;électricité usages spécifiques;7022;120
4812;Sport en salle;électricité usages spécifiques;11033;394
2965;Sport en salle;électricité spécifique et chauffage;400;42
2846;Sport en salle;électricité spécifique et chauffage;524;54
2967;Sport en salle;électricité spécifique et chauffage;598;82
2982;Sport en salle;électricité spécifique et chauffage;610;37
2975;Sport en salle;électricité spécifique et chauffage;790;48
2971;Sport en salle;électricité spécifique et chauffage;847;48
2909;Sport en salle;électricité spécifique et chauffage;1046;155
2964;Sport en salle;électricité spécifique et chauffage;1404;37
2978;Sport en salle;électricité spécifique et chauffage;1427;75
2816;Sport en salle;électricité spécifique et chauffage;1436;108
2856;Sport en salle;électricité spécifique et chauffage;1446;48
2907;Sport en salle;électricité spécifique et chauffage;1653;66
2927;Sport en salle;électricité spécifique et chauffage;1700;120
2943;Sport en salle;électricité spécifique et chauffage;1976;132
4715;Sport en salle;électricité spécifique et chauffage;13340;42
2804;Sports plein air;électricité usages spécifiques;28,36;12
2795;Sports plein air;électricité usages spécifiques;29,28;6
2802;Sports plein air;électricité usages spécifiques;44,9;9
2794;Sports plein air;électricité usages spécifiques;46,65;24
2759;Sports plein air;électricité usages spécifiques;93;9
2704;Sports plein air;électricité usages spécifiques;140,15;12
4680;Sports plein air;électricité usages spécifiques;143,96;66
2761;Sports plein air;électricité usages spécifiques;146,03;36
2756;Sports plein air;électricité usages spécifiques;171;12
2744;Sports plein air;électricité usages spécifiques;183;42
2781;Sports plein air;électricité usages spécifiques;250;24
2722;Sports plein air;électricité usages spécifiques;437,08;36
4703;Sports plein air;électricité usages spécifiques;688,14;118
2823;Sports plein air;électricité usages spécifiques;882;72
4689;Sports plein air;électricité usages spécifiques;1091,18;12
2824;Sports plein air;électricité usages spécifiques;3738;120
4833;Sports plein air;électricité usages spécifiques;9697,75;30
4699;Sports plein air;électricité usages spécifiques;15257,41;130
2833;Sports plein air;électricité usages spécifiques;70295;1290
2724;Sports plein air;électricité spécifique et chauffage;29;24
2791;Sports plein air;électricité spécifique et chauffage;55;12
2721;Sports plein air;électricité spécifique et chauffage;59;24
2745;Sports plein air;électricité spécifique et chauffage;62;24
2727;Sports plein air;électricité spécifique et chauffage;131;24
2739;Sports plein air;électricité spécifique et chauffage;141,01;36
2760;Sports plein air;électricité spécifique et chauffage;177;36
2731;Sports plein air;électricité spécifique et chauffage;193,79;49
2841;Sports plein air;électricité spécifique et chauffage;270;60
2735;Sports plein air;électricité spécifique et chauffage;300;42
2839;Sports plein air;électricité spécifique et chauffage;359,19;144
2826;Sports plein air;électricité spécifique et chauffage;816;120
2707;Sports plein air;électricité spécifique et chauffage;821,5;66
2699;Sports plein air;électricité spécifique et chauffage;1354,1;54
